"Accession" "Description" "z_score_TPP" "p_value_TPP" "Sig_Check_TPP"
"P19097" "Fatty acid synthase subunit alpha [OS=Saccharomyces cerevisiae S288C]" 2.19605907532541 0.346788689690679 "Significant"
"P07149" "Fatty acid synthase subunit beta [OS=Saccharomyces cerevisiae S288C]" 2.34839704474739 0.424376061779691 "Significant"
"P39935" "Eukaryotic initiation factor 4F subunit p150 [OS=Saccharomyces cerevisiae S288C]" 4.66474206334591 0.391487101682259 "Significant"
"P38009" "bifunctional purine biosynthesis protein ADE17 [OS=Saccharomyces cerevisiae S288C]" -2.1728494174046 0.108150175007056 "Significant"
"P53252" "sphingolipid long chain base-responsive protein PIL1 [OS=Saccharomyces cerevisiae S288C]" 2.32663033820932 0.118064203739248 "Significant"
"Q12109" "Tryptophan--tRNA ligase, cytoplasmic [OS=Saccharomyces cerevisiae S288C]" -3.85678311886685 0.0476969280210038 "Significant"
"P46654" "40S ribosomal protein S0-B [OS=Saccharomyces cerevisiae S288C]" 2.40281979878303 0.0271319040191381 "Significant"
"P19146" "ADP-ribosylation factor 2 [OS=Saccharomyces cerevisiae S288C]" 2.19785787285999 0.326330221839383 "Significant"
"P15303" "Protein transport protein SEC23 [OS=Saccharomyces cerevisiae S288C]" -2.13288250118734 0.12003802699978 "Significant"
"P39938" "40S ribosomal protein S26-A [OS=Saccharomyces cerevisiae S288C]" -2.4264666231096 0.0426845569959503 "Significant"
"P53081" "NGG1-interacting factor 3 [OS=Saccharomyces cerevisiae S288C]" 2.19536059069121 0.118986461752986 "Significant"
"P35189" "Transcription initiation factor TFIID subunit 14 [OS=Saccharomyces cerevisiae S288C]" 2.75837400746861 0.0395575717629024 "Significant"
"P52489" "Pyruvate kinase 2 [OS=Saccharomyces cerevisiae S288C]" -5.23742065792746 0.443008815360129 "Significant"
"Q3E772" "uncharacterized protein YGR169C-A [OS=Saccharomyces cerevisiae S288C]" 2.33358262394274 0.0148828812567065 "Significant"
"P39705" "Nucleoporin NUP60 [OS=Saccharomyces cerevisiae S288C]" -2.02866870123095 0.00203723681890645 "Significant"
"P38853" "Kelch repeat-containing protein 1 [OS=Saccharomyces cerevisiae S288C]" 2.9827479273212 0.0361496117067748 "Significant"
"P53299" "mitochondrial import inner membrane translocase subunit TIM13 [OS=Saccharomyces cerevisiae S288C]" -2.37895479574955 0.0784730661026043 "Significant"
"P53330" "Regulator of Ty1 transposition protein 102 [OS=Saccharomyces cerevisiae S288C]" 2.41496789825378 0.0923607745561783 "Significant"
"P38903" "Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform [OS=Saccharomyces cerevisiae S288C]" 7.51747052662913 0.029171231281618 "Significant"
"Q12206" "Transcriptional modulator WTM2 [OS=Saccharomyces cerevisiae S288C]" 3.11544069689846 0.121381543666789 "Significant"
"P50623" "SUMO-conjugating enzyme ubc9 [OS=Saccharomyces cerevisiae S288C]" -2.50511361972734 0.0143547570243699 "Significant"
"Q04307" "DNA-directed RNA polymerase III subunit RPC10 [OS=Saccharomyces cerevisiae S288C]" 2.70008972145023 0.00191520648641566 "Significant"
"O13547" "Covalently-linked cell wall protein 14 [OS=Saccharomyces cerevisiae S288C]" -2.37163167996517 0.0155337377292533 "Significant"
"P53312" "Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial [OS=Saccharomyces cerevisiae S288C]" 6.74839097338878 0.272395354695805 "Significant"
"P22138" "DNA-directed RNA polymerase I subunit RPA135 [OS=Saccharomyces cerevisiae S288C]" 2.19251279213068 0.579773707165763 "Significant"
"P38250" "Increased sodium tolerance protein 2 [OS=Saccharomyces cerevisiae S288C]" -2.49662868359433 0.0576783025236118 "Significant"
"P32568" "Protein SNQ2 [OS=Saccharomyces cerevisiae S288C]" -5.60093510811576 0.20207405664515 "Significant"
"P20133" "Geranylgeranyl transferase type-2 subunit beta [OS=Saccharomyces cerevisiae S288C]" 4.2264556844906 0.0866313856852461 "Significant"
"Q03774" "tRNA (guanine-N(7)-)-methyltransferase non-catalytic subunit TRM82 [OS=Saccharomyces cerevisiae S288C]" 2.71847549860214 0.14104719108388 "Significant"
"P02294" "Histone H2B.2 [OS=Saccharomyces cerevisiae S288C]" 2.54648787171286 0.180125609274982 "Significant"
"P53191" "Phosphatidylinositol 3-phosphate-binding protein 2 [OS=Saccharomyces cerevisiae S288C]" 3.02701063812623 0.025202372785512 "Significant"
"P54858" "Protein DOS2 [OS=Saccharomyces cerevisiae S288C]" 6.73486478600619 0.00636985963684047 "Significant"
"Q00711" "Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial [OS=Saccharomyces cerevisiae S288C]" 2.67685192259225 0.000772545089173306 "Significant"
"Q99321" "Diphosphoinositol polyphosphate phosphohydrolase DDP1 [OS=Saccharomyces cerevisiae S288C]" 3.00641518077516 0.0112897775239261 "Significant"
"Q99395" "Uncharacterized protein YPL229W [OS=Saccharomyces cerevisiae S288C]" 6.48749095634649 0.0323443897124874 "Significant"
"Q03390" "Vacuolar protein-sorting-associated protein 60 [OS=Saccharomyces cerevisiae S288C]" 3.49337686373354 0.0742726967887781 "Significant"
"P39523" "Uncharacterized protein YMR124W [OS=Saccharomyces cerevisiae S288C]" 3.77271531709748 0.000930777059666648 "Significant"
"P05986" "cAMP-dependent protein kinase type 3 [OS=Saccharomyces cerevisiae S288C]" 2.13461338430759 0.125036446613511 "Significant"
"P40413" "T-complex protein 1 subunit epsilon [OS=Saccharomyces cerevisiae S288C]" 3.50594749217805 0.135486075370975 "Significant"
"P28006" "Serine/threonine-protein phosphatase 1 regulatory subunit GAC1 [OS=Saccharomyces cerevisiae S288C]" 4.98508599399826 0.240891930095356 "Significant"
"P32351" "sugar utilization regulatory protein IMP2 [OS=Saccharomyces cerevisiae S288C]" 3.53474305346712 0.288512847966867 "Significant"
"P05744" "60S ribosomal protein L33-A [OS=Saccharomyces cerevisiae S288C]" 2.31465528747743 0.11938730654493 "Significant"
