"Accession" "Description" "z_score_TPP" "p_value_TPP" "Sig_Check_TPP"
"P00549" "Pyruvate kinase 1 [OS=Saccharomyces cerevisiae S288C]" 0.0870140431403413 0.654021330690352 "Not Significant"
"P00359" "Glyceraldehyde-3-phosphate dehydrogenase 3 [OS=Saccharomyces cerevisiae S288C]" -0.136561326206416 0.682098504297322 "Not Significant"
"P00925" "Enolase 2 [OS=Saccharomyces cerevisiae S288C]" 0.167344039999323 0.551868922400669 "Not Significant"
"P00560" "Phosphoglycerate kinase [OS=Saccharomyces cerevisiae S288C]" 0.35098692149228 0.160558325118414 "Not Significant"
"P32324" "Elongation factor 2 [OS=Saccharomyces cerevisiae S288C]" 0.124558941481621 0.635856192154979 "Not Significant"
"P00358" "glyceraldehyde-3-phosphate dehydrogenase 2 [OS=Saccharomyces cerevisiae S288C]" -1.43060328841572 0.0390908330832373 "Not Significant"
"P10591" "heat shock protein SSA1 [OS=Saccharomyces cerevisiae S288C]" -0.347217395655507 0.195963476915281 "Not Significant"
"P10592" "Heat shock protein SSA2 [OS=Saccharomyces cerevisiae S288C]" -0.7592593654071 0.231262437408232 "Not Significant"
"P00360" "glyceraldehyde-3-phosphate dehydrogenase 1 [OS=Saccharomyces cerevisiae S288C]" -0.414660117891848 0.293506018092546 "Not Significant"
"P40150" "Ribosome-associated molecular chaperone SSB2 [OS=Saccharomyces cerevisiae S288C]" -0.498171599110237 0.450052355455283 "Not Significant"
"P00924" "Enolase 1 [OS=Saccharomyces cerevisiae S288C]" 0.0979563482992006 0.731470531354558 "Not Significant"
"P15108" "ATP-dependent molecular chaperone HSC82 [OS=Saccharomyces cerevisiae S288C]" -0.389682802380717 0.403526355238448 "Not Significant"
"P02829" "ATP-dependent molecular chaperone HSP82 [OS=Saccharomyces cerevisiae S288C]" -0.07483195144357 0.591225594321259 "Not Significant"
"P11484" "Ribosome-associated molecular chaperone SSB1 [OS=Saccharomyces cerevisiae S288C]" -0.300758073720876 0.334738391339514 "Not Significant"
"P06169" "pyruvate decarboxylase isozyme 1 [OS=Saccharomyces cerevisiae S288C]" -0.351050366124087 0.547000682550217 "Not Significant"
"P0CS90" "Heat shock protein SSC1, mitochondrial [OS=Saccharomyces cerevisiae S288C]" -0.0688116307825386 0.833161949327545 "Not Significant"
"P10963" "Phosphoenolpyruvate carboxykinase (ATP) [OS=Saccharomyces cerevisiae S288C]" -0.54499668602445 0.317638503386425 "Not Significant"
"P12709" "glucose-6-phosphate isomerase [OS=Saccharomyces cerevisiae S288C]" -0.113047816959735 0.810855378922331 "Not Significant"
